Cleaned_Feedback,Score,Label,Predicted_Sentiment
[EMPTY],2,Neutral,Neutral
nothing as such,2,Neutral,Neutral
working environment is really warm here and they are very helpful in making us understanding things and process only concern i have is a fixed timings so can have a perfect work life balance,3,Negative,Negative
its given me the wings not only to flap but to fly thanks guess,1,Positive,Positive
great place to work at,1,Positive,Positive
the team should be more understanding and should be involving,3,Negative,Negative
provide a proper download of the project they are giving right now i not getting brief about what all things have happened how it was happening before me no product knowledge no tools information i not even aware of the who are in the project the,3,Negative,Negative
i have lost my vision here now i coming from an 8 years of experience and i have been treated like an intern i have been told many time that i don't know any thing without giving me a proper download they want me to know every thing i don't know how,3,Negative,Negative
because i was asked to work without getting a proper download and then obviously their will be issues with my work because nothing was provided to me before hand the work which should not take more than 3 days took me 1 week or 2 weeks because i was not,3,Negative,Negative
i was not given a proper download of which platform to be used for what which has created a massive disturbance,3,Negative,Negative
people are overburdened with the work and they do not have time to listen to any ones query,3,Negative,Negative
i don't feel my job is secured as i not able to provide my 100 in my work so many issues miscommunication unclear communication et,3,Negative,Negative
when i joined this company i referred most of my friends but now i a bit dicey,3,Negative,Negative
your support system is too good the team should also have that if theirs some new member in the team they should treat them well to make them comfortable instead of demotivating them there should be some training given to the managers that how they so,3,Negative,Negative
u may have give a higher salary and also bonus on diwali festival,3,Negative,Negative
good place to work n learn,1,Positive,Positive
its been fun and great so far working,1,Positive,Positive
clear communication,3,Negative,Negative
lack of communication,3,Negative,Negative
nothing as of now,2,Neutral,Neutral
mode of work options,3,Negative,Negative
employee centric organization,1,Positive,Positive
i very happy to work with my team and with organization really great opportunity to me thank you,1,Positive,Positive
thank for your conversation,1,Positive,Positive
all good i'm excited on the journey ahead,1,Positive,Positive
thank you,1,Positive,Positive
he is not reachable,3,Negative,Negative
he is not responding,3,Negative,Negative
all is good as far now,1,Positive,Positive
great atmosphere and positive support from ho officethank you,1,Positive,Positive
[EMPTY],4,No Match,Neutral
great experience so far,1,Positive,Positive
everything is ok,1,Positive,Positive
always blessed with my warm wishes,1,Positive,Positive
its awesome process great to have a part of this organization team all the best,1,Positive,Positive
not getting proper lineup,3,Negative,Negative
upgrade training modules and there has to proper training for 3 to 4 consecutive days for all specific designation,3,Negative,Negative
its is a good company for career all team members are also good reporting manager is supportive and motivated person,1,Positive,Positive
linked portals access,3,Negative,Negative
everything is good,1,Positive,Positive
no to done training,3,Negative,Negative
good environment,1,Positive,Positive
very smooth boarding processthanks to all concerned he people associated with this,1,Positive,Positive
thank you very much,1,Positive,Positive
i dint get the induction,3,Negative,Negative
nothing,4,No Match,Neutral
it would be great if a formal training could be given to a new employee specially fresher that can make working a little bit easy for a new employee,3,Negative,Negative
sometimes it is not possible because everyone will be busy in payroll,3,Negative,Negative
good place to work,1,Positive,Positive
all is good,1,Positive,Positive
no feedback,4,No Match,Neutral
all good,1,Positive,Positive
nothing at the moment i can think of,1,Positive,Positive
its a great journey at quesscorp and my manager kail is really very supportive,1,Positive,Positive
getting laptop is late,3,Negative,Negative
my wafers login not received access card not received,3,Negative,Negative
a little faster boarding process,3,Negative,Negative
it was great,1,Positive,Positive
great place to work work environment is lively,1,Positive,Positive
good organization with great environment our seniors are also very helpful i obviously refer my friends to this organization,1,Positive,Positive
overall good experience,1,Positive,Positive
looking forward,2,Neutral,Neutral
everything is fine nothing to say anything,1,Positive,Positive
sops,2,Neutral,Neutral
nope,4,No Match,Neutral
good experience overall in last 2 months,1,Positive,Positive
excellent place for work,1,Positive,Positive
i need to improve more,3,Negative,Negative
nothing thank you,2,Neutral,Neutral
training,3,Negative,Negative
leave and holiday,3,Negative,Negative
later i will give feedback,2,Neutral,Neutral
great,1,Positive,Positive
good place to work and improve ourself in guess,1,Positive,Positive
good company,1,Positive,Positive
since 2 months no salary mam,3,Negative,Negative
everything is fine,1,Positive,Positive
on time salary,2,Neutral,Neutral
good,1,Positive,Positive
great journey,1,Positive,Positive
all good here,1,Positive,Positive
madam please try to give me future for promotions at guess,3,Negative,Negative
no suggestions thankyou,2,Neutral,Neutral
i glad work with guess corp,1,Positive,Positive
nice,1,Positive,Positive
great team one team gujarat,1,Positive,Positive
great company with smooth on boarding process and felt welcome on the first day great colleagues and managers with good support,1,Positive,Positive
its gr working with guess,1,Positive,Positive
not at moment,2,Neutral,Neutral
i am making myself lucky by working with que,1,Positive,Positive
overall good,1,Positive,Positive
i appreciate having had the opportunity to work with you thank you for the support,1,Positive,Positive
every thing is great in guess i am happy to be with guess mix,1,Positive,Positive
am very happy to work with guess,1,Positive,Positive
i like working here everyone is very helping,1,Positive,Positive
so far everything is going fine,1,Positive,Positive
yes it was good,1,Positive,Positive
this organization policies and work culture is really good at present do not have any suggestions to give thank you,1,Positive,Positive
guess corp company is best company and i proud feel,1,Positive,Positive
i have joined from with august but in the offer letter it mentioned with august,3,Negative,Negative
according to my opinion the management must have to change,3,Negative,Negative
completely disagree with thisyou can escalate this feedback,3,Negative,Negative
when the management is unfair its effect on company,3,Negative,Negative
i have an experience in past organization comparing to that was not saying all the organization only team management,3,Negative,Negative
i think career graph will little low,3,Negative,Negative
respond to employees solution immediately they have released my offer delay and right now there is no remusbemt amount has been not received from 60 days,3,Negative,Negative
just for some experience that it,3,Negative,Negative
management must recognize each and every employee all are equal including cleaning staff,3,Negative,Negative
no comments,2,Neutral,Neutral
not as of now,2,Neutral,Neutral
success stories to share with the clients monster vs competitors comparison,2,Neutral,Neutral
its a great place to work awesome atmosphere üëå,1,Positive,Positive
i glad to join guess corp,1,Positive,Positive
i really liked working at guess corp,1,Positive,Positive
till now the experience has been marvelous supporting managers and colleagues,1,Positive,Positive
difficult to connect the dots in recruitment lot of position are hired with some ambiguity,3,Negative,Negative
till time nothing as such,2,Neutral,Neutral
no,4,No Match,Neutral
not sure,2,Neutral,Neutral
okay not much at monster,2,Neutral,Neutral
to be more caring interactions between teams basic festive celebrations sweets et,3,Negative,Negative
none,4,No Match,Neutral
everything is going well and good,1,Positive,Positive
learning about the process and requirements,2,Neutral,Neutral
i will definitely refer to my friends and family,2,Neutral,Neutral
setup 11 meetings kt sessions within team boarding new joiners,2,Neutral,Neutral
no mechanism to get feedback for your work only at appraisals time one might receive some feedback,3,Negative,Negative
boarding ne joiners is very tedious no documentation no process,3,Negative,Negative
still trying to understand certain parts of the job,3,Negative,Negative
best place to work,1,Positive,Positive
1 one of the best work in my job carriern2one of the good respected jobn3good supportivecaretaker teamn4this job given more positive responsibility my self,1,Positive,Positive
company induction and he induction needed to further proceed thank you,3,Negative,Negative
nothing to suggest,2,Neutral,Neutral
good experience,1,Positive,Positive
learning portal access required,3,Negative,Negative
guess is great place to work,1,Positive,Positive
i really looking forward to experience and learn new things going forward and üòä,1,Positive,Positive
there was no path defined for me,3,Negative,Negative
as of now no suggestions,2,Neutral,Neutral
